ent,eda,factorExpansion,sex,n_asi_por
12,14,92,2,1
12,14,85,2,1
12,12,85,1,1
12,12,85,2,1
12,13,93,1,1
12,17,85,1,1
12,13,92,1,1
12,16,80,2,1
12,13,135,2,1
12,15,86,2,1
12,14,80,2,1
12,14,98,2,1
12,16,98,1,1
12,16,80,2,1
12,16,82,1,1
12,13,150,2,1
12,14,135,1,3
12,13,80,2,1
12,12,135,2,3
12,17,98,2,3
12,14,100,2,1
12,14,101,1,1
12,13,101,2,1
12,12,101,2,1
12,17,92,2,1
12,14,92,1,1
12,12,92,1,1
12,12,98,2,1
12,16,98,1,3
12,15,90,2,1
12,12,92,2,1
12,13,92,1,1
12,17,132,1,4
12,15,132,2,1
12,15,88,2,1
12,15,87,2,1
12,13,88,1,1
12,16,91,1,1
12,17,132,1,1
12,17,95,2,1
12,17,95,1,1
12,16,95,1,1
12,16,88,1,1
12,12,95,1,1
12,13,132,1,1
12,16,95,1,3
12,15,77,2,1
12,13,95,2,1
12,13,77,1,3
12,14,96,2,1
12,13,109,2,1
12,14,91,1,1
12,12,91,2,1
12,15,90,1,6
12,17,112,2,1
12,16,95,2,1
12,17,125,2,1
12,14,74,1,1
12,16,86,2,1
12,17,110,2,1
12,17,110,1,1
12,12,110,1,1
12,17,98,1,3
12,16,142,2,1
12,12,142,2,1
12,13,94,1,1
12,13,85,1,1
12,15,106,1,1
12,12,85,2,1
12,17,98,2,1
12,16,119,1,1
12,14,119,2,1
12,15,103,1,1
12,15,119,1,1
12,16,119,2,1
12,16,119,2,1
12,15,83,1,1
12,12,83,1,1
12,14,64,1,1
12,16,83,2,1
12,16,97,1,1
12,14,83,2,1
12,16,97,1,1
12,13,101,2,1
12,13,103,1,1
12,16,91,2,3
12,17,97,1,1
12,17,91,1,1
12,13,101,2,1
12,12,101,2,1
12,14,73,1,1
12,12,74,2,1
12,16,74,1,6
12,16,102,2,1
12,16,111,2,1
12,12,74,2,1
12,16,111,1,1
12,12,81,1,1
12,14,81,2,1
12,14,73,1,1
12,14,81,1,3
12,16,98,1,1
12,13,73,1,1
12,14,88,2,1
12,16,70,1,4
12,12,70,2,1
12,15,120,2,1
12,13,71,1,1
12,13,94,1,1
12,16,79,2,1
12,14,71,2,1
12,16,100,2,1
12,16,100,1,1
12,14,119,2,7
12,16,79,2,1
12,15,89,1,1
12,14,89,2,1
12,14,104,1,1
12,14,101,2,1
12,13,84,1,1
12,16,84,2,1
12,15,84,1,1
12,16,84,1,1
12,13,84,2,1
12,14,73,1,1
12,14,86,2,1
12,17,101,2,1
12,13,101,1,1
12,17,77,2,4
12,14,77,1,1
12,17,70,1,3
12,17,91,1,1
12,14,105,2,1
12,14,63,2,1
12,14,105,2,1
12,13,105,2,1
12,12,105,2,1
12,17,89,1,7
12,15,89,1,3
12,15,119,2,3
12,14,73,2,1
12,15,104,2,1
12,15,102,1,1
12,14,104,1,4
12,14,104,2,1
12,14,119,1,1
12,12,119,1,1
12,16,95,1,7
12,14,119,2,1
12,14,86,2,1
12,12,86,1,1
12,17,95,1,3
12,13,95,2,1
12,17,95,2,1
12,14,104,2,1
12,16,101,2,1
12,13,101,1,1
12,15,104,2,1
12,13,105,1,1
12,12,97,2,1
12,17,97,2,5
12,13,101,1,1
12,12,83,2,1
12,14,166,1,1
12,12,87,1,1
12,17,87,2,1
12,15,84,1,1
12,15,105,2,1
12,15,105,1,1
12,17,78,2,3
12,13,78,2,1
12,15,91,1,1
12,15,71,1,1
12,16,99,1,1
12,15,99,1,1
12,16,99,2,1
12,15,79,1,1
12,15,79,2,1
12,17,83,1,3
12,17,83,1,3
12,13,99,2,1
12,12,91,1,1
12,13,74,1,1
12,12,74,1,1
12,12,74,2,1
12,13,79,2,1
12,16,104,1,1
12,16,104,1,1
12,14,104,1,1
12,17,83,1,1
12,15,83,2,1
12,16,83,2,1
12,17,101,1,1
12,13,101,2,1
12,13,88,1,3
12,12,166,2,1
12,15,166,1,1
12,15,92,1,1
12,12,92,1,1
12,17,90,2,1
12,13,90,2,1
12,12,81,2,1
12,17,84,2,1
12,15,84,1,1
12,16,88,2,1
12,14,88,2,1
12,16,123,2,1
12,16,109,2,1
12,13,123,2,1
12,13,109,2,1
12,15,81,2,7
12,14,109,2,1
12,13,109,2,1
12,16,85,2,1
12,17,123,1,3
12,17,136,2,1
12,16,136,1,1
12,12,136,1,1
12,17,93,1,3
12,13,89,1,1
12,16,90,1,1
12,15,104,2,1
12,13,83,1,1
12,17,151,1,3
12,13,151,1,1
12,12,151,2,1
12,14,90,1,1
12,16,151,2,1
12,15,151,2,1
12,14,93,1,1
12,14,83,1,1
12,12,123,2,1
12,17,104,1,1
12,16,104,1,1
12,12,104,1,1
12,15,108,1,7
12,15,108,2,3
12,13,108,2,1
12,13,84,2,1
12,17,86,2,1
12,13,86,2,1
12,16,89,1,1
12,14,108,2,1
12,15,89,2,1
12,13,89,1,1
12,12,89,2,1
12,15,93,1,1
12,13,109,2,1
12,12,88,1,1
12,15,89,2,3
12,12,83,2,1
12,14,137,2,1
12,16,90,1,1
12,13,88,1,1
12,17,101,1,3
12,16,101,2,1
12,16,89,1,1
12,13,89,1,1
12,12,93,2,1
12,17,93,2,4
12,16,93,2,1
12,14,93,2,3
12,17,93,2,5
1,15,97,2,1
1,14,97,1,1
1,17,87,1,4
1,14,87,2,4
1,17,116,2,3
1,12,116,1,1
1,16,85,1,1
1,17,116,2,4
1,12,116,2,1
1,15,90,1,3
1,12,90,2,1
1,16,85,2,1
1,17,89,2,1
1,15,116,2,4
1,12,116,2,1
1,17,89,2,1
1,16,85,2,1
1,12,89,1,1
1,15,85,2,1
1,12,85,2,1
1,14,95,2,1
1,12,87,2,4
1,14,89,2,1
1,13,87,2,1
1,16,90,1,1
1,12,95,1,1
1,13,95,2,1
1,15,79,1,3
1,17,90,1,1
1,13,90,2,1
1,13,97,1,1
1,15,78,1,1
1,14,78,2,1
1,14,78,1,1
1,12,78,1,1
1,17,97,1,1
1,15,78,2,1
1,16,128,2,1
1,16,43,1,1
1,12,43,2,1
1,12,90,2,1
1,17,107,1,4
1,14,107,2,1
1,12,107,1,1
1,14,43,1,1
1,17,104,1,3
1,17,43,1,1
1,13,103,1,1
1,12,103,1,1
1,15,104,1,3
1,14,104,1,1
1,12,104,2,1
1,15,103,1,1
1,16,104,2,7
1,14,104,2,1
1,12,104,2,1
1,16,83,2,1
1,16,103,2,1
1,14,83,1,1
1,12,83,2,1
1,16,88,2,1
1,14,88,2,1
1,12,91,2,1
1,12,90,1,1
1,14,96,1,1
1,15,120,1,3
1,13,120,1,1
1,17,120,1,1
1,15,128,1,1
1,17,103,2,1
1,16,91,1,1
1,13,91,1,1
1,15,97,1,1
1,14,97,2,1
1,13,97,1,1
1,17,100,1,1
1,15,100,1,1
1,13,100,1,1
1,17,89,2,1
1,16,89,1,1
1,12,89,1,1
1,15,89,1,3
1,16,83,2,1
1,15,83,2,1
1,15,89,1,1
1,13,83,2,1
1,14,89,2,1
1,12,89,2,1
1,14,89,2,1
1,17,90,2,4
1,16,90,1,3
1,12,102,1,1
1,14,90,1,1
1,17,183,1,1
1,14,183,1,1
1,17,88,2,3
1,16,89,1,1
1,15,100,2,3
1,13,100,1,1
1,16,89,1,3
1,14,102,1,1
1,12,102,1,1
1,16,100,1,1
1,16,102,1,1
1,16,94,1,1
1,12,94,2,1
1,16,102,1,1
